排名,电影名称,豆瓣评分,导演,主演,电影类型,上映时间,片长,alt,图片地址
186,房间,8.80,伦尼·阿伯拉罕森,"布丽·拉尔森,雅各布·特伦布莱,肖恩·布里吉格斯","剧情,家庭","2015-09-04(特柳赖德电影节),2015-10-23(多伦多),2016-01-15(爱尔兰),2016-01-15(英国),2016-01-22(美国)",118分钟,https://movie.douban.com/subject/25724855/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg
187,穿越时空的少女,8.60,细田守,"仲里依纱,石田卓也,板仓光隆","剧情,爱情,科幻",2006-07-15(日本),98分钟,https://movie.douban.com/subject/1937946/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg
188,黑客帝国3：矩阵革命,8.70,"莉莉·沃卓斯基,拉娜·沃卓斯基","基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯","动作,科幻","2003-11-05(美国),2003-11-05(中国大陆)",129 分钟,https://movie.douban.com/subject/1302467/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2220873438.jpg
189,恐怖游轮,8.40,克里斯托弗·史密斯,"梅利莎·乔治,利亚姆·海姆斯沃斯,迈克尔·多曼","剧情,悬疑,惊悚",2009-10-16(英国),99 分钟,https://movie.douban.com/subject/3011051/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg
190,海街日记,8.70,是枝裕和,"绫濑遥,长泽雅美,夏帆","剧情,家庭","2015-05-14(戛纳电影节),2015-06-13(日本)",127分钟,https://movie.douban.com/subject/25895901/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2232247487.jpg
191,魂断蓝桥,8.80,茂文·勒鲁瓦,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森","剧情,爱情,战争",1940-05-17(美国),108分钟,https://movie.douban.com/subject/1293964/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg
192,头号玩家,8.70,史蒂文·斯皮尔伯格,"泰伊·谢里丹,奥利维亚·库克,本·门德尔森","动作,科幻,冒险","2018-03-11(西南偏南电影节),2018-03-29(美国),2018-03-30(中国大陆)",140分钟,https://movie.douban.com/subject/4920389/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg
193,猜火车,8.50,丹尼·博伊尔,"伊万·麦克格雷格,艾文·布莱纳,约翰尼·李·米勒","剧情,犯罪",1996-02-23(英国),94分钟,https://movie.douban.com/subject/1292528/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.jpg
194,完美陌生人,8.50,保罗·杰诺维塞,"马可·贾利尼,卡夏·斯穆特尼亚克,爱德华多·莱奥","剧情,喜剧","2016-02-11(意大利),2018-05-25(中国大陆)","97分钟,96分钟(中国大陆)",https://movie.douban.com/subject/26614893/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg
195,罗生门,8.80,黑泽明,"三船敏郎,千秋实,京町子","犯罪,剧情,悬疑",1950-08-26(日本),88分钟,https://movie.douban.com/subject/1291879/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2564689879.jpg
196,惊魂记,8.90,阿尔弗雷德·希区柯克,"珍妮特·利,安东尼·博金斯,维拉·迈尔斯","悬疑,惊悚,恐怖","1960-06-16(纽约首映),1960-09-08(美国)",109分钟,https://movie.douban.com/subject/1293181/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg
197,功夫,8.40,周星驰,"周星驰,元秋,元华","动作,喜剧,犯罪","2004-09-14(多伦多电影节),2004-12-23(中国大陆),2004-12-23(中国香港),2015-01-15(中国大陆3D)","100分钟(3D重映),95分钟(中国大陆),99分钟(美国)",https://movie.douban.com/subject/1291543/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg
198,阿飞正传,8.50,王家卫,"张国荣,张曼玉,刘嘉玲","犯罪,剧情,爱情","1990-12-15(中国香港),2018-06-25(中国大陆)",94分钟,https://movie.douban.com/subject/1305690/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg
199,香水,8.50,汤姆·提克威,"本·卫肖,艾伦·瑞克曼,蕾切儿·哈伍德","剧情,犯罪,奇幻","2006-09-07(德国),2006-09-14(法国),2006-11-24(西班牙),2007-01-05(美国)",147分钟,https://movie.douban.com/subject/1760622/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p470006658.jpg
200,可可西里,8.70,陆川,"多布杰,张正阳,奇道","剧情,犯罪","2004-10-01(中国大陆),2005-04-21(中国香港)","85分钟(中国大陆),90分钟(美国),98分钟(阿根廷)",https://movie.douban.com/subject/1308857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414771522.jpg
201,谍影重重2,8.60,保罗·格林格拉斯,"马特·达蒙,弗朗卡·波滕特,布莱恩·考克斯","动作,悬疑,惊悚","2004-07-15(洛杉矶首映),2004-07-23(美国),2004-11-14(中国大陆)",108分钟,https://movie.douban.com/subject/1308767/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg
202,牯岭街少年杀人事件,8.80,杨德昌,"张震,杨静怡,张国柱","剧情,犯罪",1991-07-27(中国台湾),237分钟(导演剪辑版),https://movie.douban.com/subject/1292329/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg
203,朗读者,8.50,史蒂芬·戴德利,"凯特·温丝莱特,大卫·克劳斯,拉尔夫·费因斯","剧情,爱情","2008-12-10(纽约首映),2009-01-30(美国),2009-02-26(德国)",124 分钟,https://movie.douban.com/subject/2213597/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg
204,浪潮,8.70,丹尼斯·甘塞尔,"于尔根·福格尔,弗雷德里克·劳,马克思·雷迈特","剧情,惊悚",2008-03-13(德国),107 分钟,https://movie.douban.com/subject/2297265/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg
205,谍影重重,8.60,道格·里曼,"马特·达蒙,弗朗卡·波滕特,克里斯·库珀","动作,悬疑,惊悚","2002-06-14(美国),2002-11-21(中国大陆)",119分钟,https://movie.douban.com/subject/1304102/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg
206,疯狂的石头,8.40,宁浩,"郭涛,刘桦,连晋","喜剧,犯罪","2006-06-30(中国大陆),2006-08-10(中国香港)","106 分钟(香港),98 分钟(中国大陆)",https://movie.douban.com/subject/1862151/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg
207,战争之王,8.60,安德鲁·尼科尔,"尼古拉斯·凯奇,布丽姬·穆娜,杰瑞德·莱托","剧情,犯罪",2005-09-16(美国),122 分钟,https://movie.douban.com/subject/1419936/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg
208,地球上的星星,8.90,阿米尔·汗,"达席尔·萨法瑞,阿米尔·汗,塔奈·切赫达","剧情,儿童,家庭",2007-12-21(印度),165分钟,https://movie.douban.com/subject/2363506/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg
209,初恋这件小事,8.30,"普特鹏·普罗萨卡·那·萨克那卡林,华森·波克彭","平采娜·乐维瑟派布恩,马里奥·毛瑞尔,苏达拉·布查蓬","剧情,喜剧,爱情","2010-08-12(泰国),2012-06-05(中国大陆)","118分钟(泰国),100分钟(中国大陆)",https://movie.douban.com/subject/4739952/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg
210,青蛇,8.50,徐克,"张曼玉,王祖贤,赵文卓","剧情,爱情,奇幻",1993-11-04(中国香港),99分钟,https://movie.douban.com/subject/1303394/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p584021784.jpg
211,终结者2：审判日,8.60,詹姆斯·卡梅隆,"阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆","动作,科幻","1991-07-03(美国),2017-02-17(柏林电影节 3D)","137分钟,153分钟(特别版),156分钟(终极剪辑版)",https://movie.douban.com/subject/1291844/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg
212,奇迹男孩,8.60,斯蒂芬·卓博斯基,"雅各布·特伦布莱,朱莉娅·罗伯茨,伊扎贝拉·维多维奇","剧情,儿童,家庭","2017-11-17(美国),2018-01-19(中国大陆)","113分钟,114分钟(中国大陆)",https://movie.douban.com/subject/26787574/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg
213,爱在午夜降临前,8.80,理查德·林克莱特,"伊桑·霍克,朱莉·德尔佩,肖姆斯·戴维-菲茨帕特里克","剧情,爱情",2013-06-14(美国),109分钟,https://movie.douban.com/subject/10808442/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg
214,源代码,8.40,邓肯·琼斯,"杰克·吉伦哈尔,维拉·法米加,米歇尔·莫纳汉","科幻,悬疑,惊悚","2011-03-11(西南偏南电影节),2011-04-01(美国),2011-08-30(中国大陆)",93分钟,https://movie.douban.com/subject/3075287/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg
215,新龙门客栈,8.50,李惠民,"张曼玉,林青霞,梁家辉","动作,爱情,武侠","1992-08-27(中国香港),2012-02-24(中国大陆)","88分钟,99分钟,103分钟(美国)",https://movie.douban.com/subject/1292287/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg
216,步履不停,8.80,是枝裕和,"阿部宽,夏川结衣,江原由希子","剧情,家庭",2008-06-28(日本),115分钟,https://movie.douban.com/subject/2222996/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561539680.jpg
217,小萝莉的猴神大叔,8.50,卡比尔·汗,"萨尔曼·汗,哈莎莉·马洛特拉,卡琳娜·卡普尔","剧情,喜剧,动作","2015-07-17(印度),2018-03-02(中国大陆)","159分钟,141分钟(中国大陆)",https://movie.douban.com/subject/26393561/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg
218,无耻混蛋,8.50,昆汀·塔伦蒂诺,"布拉德·皮特,梅拉尼·罗兰,克里斯托弗·沃尔兹","剧情,犯罪",2009-08-20(德国),153分钟,https://movie.douban.com/subject/1438652/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p770734475.jpg
219,釜山行,8.40,延尚昊,"孔侑,郑有美,马东锡","动作,惊悚,灾难","2016-05-13(戛纳电影节),2016-07-20(韩国)",118分钟,https://movie.douban.com/subject/25986180/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg
220,再次出发之纽约遇见你,8.50,约翰·卡尼,"凯拉·奈特莉,马克·鲁弗洛,亚当·莱文","喜剧,爱情,音乐","2013-09-07(多伦多电影节),2014-07-11(美国),2015-06-26(中国大陆)",104分钟,https://movie.douban.com/subject/6874403/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg
221,一次别离,8.70,阿斯哈·法哈蒂,"佩曼·莫阿迪,蕾拉·哈塔米,萨瑞·巴亚特","剧情,家庭","2011-02-15(柏林电影节),2011-03-16(伊朗),2012-11-13(中国大陆)",123分钟,https://movie.douban.com/subject/5964718/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189835254.jpg
222,追随,8.90,克里斯托弗·诺兰,"杰里米·西奥伯德,亚历克斯·霍,露西·拉塞尔","犯罪,悬疑,惊悚","1998-09-12(多伦多电影节),1999-11-05(英国)",69分钟,https://movie.douban.com/subject/1397546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2074443514.jpg
223,新世界,8.70,朴勋政,"李政宰,崔岷植,黄政民","剧情,犯罪",2013-02-21(韩国),134分钟,https://movie.douban.com/subject/10437779/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg
224,血钻,8.60,爱德华·兹威克,"莱昂纳多·迪卡普里奥,杰曼·翰苏,詹妮弗·康纳利","剧情,惊悚,冒险",2006-12-08(美国),143 分钟,https://movie.douban.com/subject/1428175/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg
225,彗星来的那一夜,8.50,詹姆斯·沃德·布柯特,"艾米丽·芭尔多尼,莫瑞·史特林,尼古拉斯·布兰登","科幻,悬疑,惊悚","2013-09-19(奇幻电影节),2014-08-06(美国)",89分钟,https://movie.douban.com/subject/25807345/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg
226,2001太空漫游,8.70,斯坦利·库布里克,"凯尔·杜拉,加里·洛克伍德,威廉姆·西尔维斯特","科幻,惊悚,冒险","1968-04-02(华盛顿首映),1968-05-12(英国)",149分钟,https://movie.douban.com/subject/1292226/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2500694952.jpg
227,城市之光,9.30,查理·卓别林,"查理·卓别林,弗吉尼亚·切瑞尔,佛罗伦斯·李","喜剧,剧情,爱情","1931-01-30(洛杉矶首映),1931-03-07(美国)",87 分钟,https://movie.douban.com/subject/1293908/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
